"Clubs",seller,buyer,sells,buys,PV,ROI,VolumeCash,poidsmarket,achat_moyen,vente_moyen,Pays,Ville,lon,lat
Dinamo Zagreb,20,NA,172880000,8644000,172880000,Inf,181524000,0.490720648497161,NA,8644000,Croatie,Zagreb,15.977048,45.813177
FC Basel,19,2,183100000,8750000,174350000,1992.57142857143,191850000,0.518635312213153,4375000,9636842.10526316,Suisse,Bale,7.5878261,47.5581077
Besiktas,8,16,76600000,78600000,-2e+06,-2.54452926208651,155200000,0.41955799038562,4912500,9575000,Turquie,Istanbul,28.8922067484485,40.9035073707135
Stoke City,9,28,77500000,249800000,-172300000,-68.9751801441153,327300000,0.884802385652149,8921428.57142857,8611111.11111111,Angleterre,Stoke,-2.1812607,53.0162014
AZ Alkmaar,20,5,149650000,23500000,126150000,536.808510638298,173150000,0.468082899711792,4700000,7482500,Pays-Bas,Alkmaar,4.7402031936764,52.63373645
Blackburn,15,14,149350000,71880000,77470000,107.776850306066,221230000,0.598059369929193,5134285.71428571,9956666.66666667,Angleterre,Blackburn,-2.4797543,53.7497193
Standard Liège,12,3,87810000,11500000,76310000,663.565217391304,99310000,0.268468453770593,3833333.33333333,7317500,Belgique,Liège,-0.0113078,43.8455187
Independiente,10,NA,71160000,3558000,71160000,Inf,74718000,0.201987976324954,NA,7116000,Italie,Avellaneda,-58.3541591812226,-34.5936347666598
Boca Juniors,15,5,133300000,31050000,102250000,329.307568438003,164350000,0.444293529122917,6210000,8886666.66666667,Argentine,Buenos Aires,-58.4440629178347,-34.573260807373
Portsmouth,18,15,148450000,100260000,48190000,48.065030919609,248710000,0.672347086268091,6684000,8247222.22222222,Angleterre,Portsmouth,-1.075614,50.8036831
BJ Sinobo Guoan,1,8,20440000,102750000,-82310000,-80.1070559610706,123190000,0.333024154868586,12843750,20440000,Chine,Pekin,116.3912757,39.906217
Al Sadd,1,10,20200000,75650000,-55450000,-73.2980832782551,95850000,0.259114905789057,7565000,20200000,Qatar,Doha,51.4379916901804,25.3798199160587
Dep. La Coruña,9,6,96580000,31140000,65440000,210.14771997431,127720000,0.345270274046723,5190000,10731111.1111111,Espagne,La Corogne,-8.5296941,43.0565609
Real Zaragoza,13,10,116600000,70100000,46500000,66.3338088445078,186700000,0.504713123743527,7010000,8969230.76923077,Espagne,Saragosse,-1.16950900924476,41.84004695
FC Augsburg,1,1,2e+07,7e+06,1.3e+07,185.714285714286,2.7e+07,0.0729901143067768,7e+06,2e+07,Allemagne,Augsburg,10.8986971,48.3668041
FC Lorient,14,2,121500000,9e+06,112500000,1250,130500000,0.352785552482754,4500000,8678571.42857143,France,Lorient,-3.3660907,47.7477336
SC Freiburg,6,3,6e+07,1.5e+07,4.5e+07,300,7.5e+07,0.202750317518824,5e+06,1e+07,Allemagne,Freiburg,7.8494005,47.9960901
Espanyol,14,9,1.14e+08,48600000,65400000,134.567901234568,162600000,0.439562688380811,5400000,8142857.14285714,Espagne,Barcelone,2.13734046619789,41.3564667001408
Corinthians,26,11,205400000,85500000,119900000,140.233918128655,290900000,0.786400898216347,7772727.27272727,7900000,Brésil,São Paulo,-46.7275207660957,-23.4444859078758
Lecce,6,NA,5.1e+07,2550000,5.1e+07,Inf,53550000,0.144763726708441,NA,8500000,Italie,Lecce,18.1718482,40.3570373
Fulham,18,25,124700000,194380000,-69680000,-35.8473093939706,319080000,0.862580950852086,7775200,6927777.77777778,Angleterre,Londres,-0.0808971656345367,51.5098792593937
Wigan,16,22,142680000,99970000,42710000,42.7228168450535,242650000,0.65596486061257,4544090.90909091,8917500,Angleterre,Manchester,-2.27519143892582,53.5748389459553
Vasco da Gama,5,NA,45700000,2285000,45700000,Inf,47985000,0.129719653148544,NA,9140000,Brésil,Rio de Janeiro,-43.1185228935944,-22.9792127890019
Feyenoord,17,5,1.37e+08,18500000,118500000,640.540540540541,155500000,0.420368991655696,3700000,8058823.52941176,Pays-Bas,Rotterdam,4.50479553049639,51.9191986793565
Bolton,5,11,38450000,67550000,-29100000,-43.079200592154,1.06e+08,0.286553782093272,6140909.09090909,7690000,Angleterre,Bolton,-2.4288874,53.577694
Hamburger SV,16,29,145700000,193600000,-47900000,-24.7417355371901,339300000,0.917242436455161,6675862.06896552,9106250,Allemagne,Hambourg,10.000654,53.550341
Kuban Krasnodar,6,3,4.7e+07,1.5e+07,3.2e+07,213.333333333333,6.2e+07,0.167606929148895,5e+06,7833333.33333333,Russie,Krasnodar,38.8766314937156,44.9858192633205
Rubin Kazan,10,21,81900000,159400000,-77500000,-48.6198243412798,241300000,0.652315354897231,7590476.19047619,8190000,Russie,Kazan,49.1242266,55.7823547
Sassuolo,11,13,112700000,85200000,27500000,32.2769953051643,197900000,0.534990504493004,6553846.15384615,10245454.5454545,Italie,Sassuolo,10.7829023,44.5409769
KRC Genk,10,1,101300000,4500000,96800000,2151.11111111111,105800000,0.286013114579888,4500000,10130000,Belgique,Genk,5.5001456,50.9654864
Celta de Vigo,11,5,93800000,3.8e+07,55800000,146.842105263158,131800000,0.356299891319747,7600000,8527272.72727273,Espagne,Vigo,-8.7247205,42.2376602
SCO Angers,2,NA,2.8e+07,1400000,2.8e+07,Inf,29400000,0.0794781244673791,NA,1.4e+07,France,Angers,-0.5515588,47.4739884
Loko Moscow,12,28,8.6e+07,156900000,-70900000,-45.1880178457616,242900000,0.656640695004299,5603571.42857143,7166666.66666667,Russie,Moscou,37.7291932899613,55.7868742978272
ZJ Greentown,3,NA,31720000,1586000,31720000,Inf,33306000,0.0900373610037595,NA,10573333.3333333,Chine,Hangzhou,120.2052342,30.2489634
Olympiacos,14,9,136850000,53300000,83550000,156.754221388368,190150000,0.514039638349393,5922222.22222222,9775000,Grèce,Le Pirée,0.1963477,48.107505
Spartak Moscow,14,32,102600000,208700000,-106100000,-50.8385241974126,311300000,0.841548984581467,6521875,7328571.42857143,Russie,Moscou,37.5907833420966,55.8105252027024
Nottm Forest,7,3,66800000,28700000,38100000,132.752613240418,95500000,0.258168737640636,9566666.66666667,9542857.14285714,Angleterre,Nottingham,-1.1492773,52.9534161
Heerenveen,13,1,106050000,4500000,101550000,2256.66666666667,110550000,0.298853968022747,4500000,8157692.30769231,Pays-Bas,Heerenveen,5.93326787512682,52.9567361
Hertha BSC,10,5,83100000,25400000,57700000,227.165354330709,108500000,0.293312126010566,5080000,8310000,Allemagne,Berlin,13.3888599,52.5170365
