Name;Position;Age;Team_from;League_from;Team_to;League_to;Season;Market_value;Transfer_fee;ROI;PV
Kevin De Bruyne;Attacking Midfield;24;VfL Wolfsburg;1.Bundesliga;Man City;Premier League;2015-2016;45000000;76000000;0.688888888888889;31000000
James Rodríguez;Attacking Midfield;23;Monaco;Ligue 1;Real Madrid;LaLiga;2014-2015;60000000;75000000;0.25;15000000
Ángel Di María;Right Winger;26;Real Madrid;LaLiga;Man Utd;Premier League;2014-2015;50000000;75000000;0.5;25000000
Thomas Lemar;Left Winger;22;Monaco;Ligue 1;Atlético Madrid;LaLiga;2018-2019;65000000;70000000;0.0769230769230769;5000000
Zlatan Ibrahimovic;Centre-Forward;27;Inter;Serie A;FC Barcelona;LaLiga;2009-2010;45000000;69500000;0.544444444444444;24500000
Riyad Mahrez;Right Winger;27;Leicester;Premier League;Man City;Premier League;2018-2019;50000000;67800000;0.356;17800000
Diego Costa;Centre-Forward;29;Chelsea;Premier League;Atlético Madrid;LaLiga;2017-2018;50000000;66000000;0.32;16000000
Álvaro Morata;Centre-Forward;24;Real Madrid;LaLiga;Chelsea;Premier League;2017-2018;40000000;66000000;0.65;26000000
Kaká;Attacking Midfield;27;AC Milan;Serie A;Real Madrid;LaLiga;2009-2010;55000000;65000000;0.181818181818182;10000000
Aymeric Laporte;Centre-Back;23;Athletic Bilbao;LaLiga;Man City;Premier League;2017-2018;25000000;65000000;1.6;40000000
Edinson Cavani;Centre-Forward;26;SSC Napoli;Serie A;Paris SG;Ligue 1;2013-2014;55000000;64500000;0.172727272727273;9500000
Pierre-Emerick Aubameyang;Centre-Forward;28;Bor. Dortmund;1.Bundesliga;Arsenal;Premier League;2017-2018;65000000;63750000;-0.0192307692307692;-1250000
Raheem Sterling;Right Winger;20;Liverpool;Premier League;Man City;Premier League;2015-2016;40000000;63700000;0.5925;23700000
Ángel Di María;Right Winger;27;Man Utd;Premier League;Paris SG;Ligue 1;2015-2016;50000000;63000000;0.26;13000000
Alisson;Goalkeeper;25;AS Roma;Serie A;Liverpool;Premier League;2018-2019;60000000;62500000;0.0416666666666667;2500000
Luís Figo;Right Winger;27;FC Barcelona;LaLiga;Real Madrid;LaLiga;2000-2001;NA;60000000;NA;NA
Anthony Martial;Left Winger;19;Monaco;Ligue 1;Man Utd;Premier League;2015-2016;8000000;60000000;6.5;52000000
Oscar;Attacking Midfield;25;Chelsea;Premier League;SIPG;Super League;2016-2017;35000000;60000000;0.714285714285714;25000000
Naby Keïta;Central Midfield;23;RB Leipzig;1.Bundesliga;Liverpool;Premier League;2018-2019;65000000;60000000;-0.0769230769230769;-5000000
Fred;Central Midfield;25;Shakhtar D.;Premier Liga;Man Utd;Premier League;2018-2019;32000000;59000000;0.84375;27000000
Fernando Torres;Centre-Forward;26;Liverpool;Premier League;Chelsea;Premier League;2010-2011;50000000;58500000;0.17;8500000
Benjamin Mendy;Left-Back;23;Monaco;Ligue 1;Man City;Premier League;2017-2018;13000000;57500000;3.42307692307692;44500000
Jorginho;Defensive Midfield;26;SSC Napoli;Serie A;Chelsea;Premier League;2018-2019;50000000;57000000;0.14;7000000
Hernán Crespo;Centre-Forward;25;Parma;Serie A;Lazio;Serie A;2000-2001;NA;56810000;NA;NA
Hulk;Right Winger;29;Zenit S-Pb;Premier Liga;SIPG;Super League;2016-2017;32000000;55800000;0.74375;23800000
John Stones;Centre-Back;22;Everton;Premier League;Man City;Premier League;2016-2017;28000000;55600000;0.985714285714286;27600000
Alexandre Lacazette;Centre-Forward;26;Olympique Lyon;Ligue 1;Arsenal;Premier League;2017-2018;40000000;53000000;0.325;13000000
Gianluigi Buffon;Goalkeeper;23;Parma;Serie A;Juventus;Serie A;2001-2002;NA;52880000;NA;NA
Kyle Walker;Right-Back;27;Spurs;Premier League;Man City;Premier League;2017-2018;30000000;52700000;0.756666666666667;22700000
Leroy Sané;Left Winger;20;FC Schalke 04;1.Bundesliga;Man City;Premier League;2016-2017;30000000;50500000;0.683333333333333;20500000
Alex Teixeira;Attacking Midfield;26;Shakhtar D.;Premier Liga;JS Suning;Super League;2015-2016;30000000;50000000;0.666666666666667;20000000
Bernardo Silva;Right Winger;22;Monaco;Ligue 1;Man City;Premier League;2017-2018;40000000;50000000;0.25;10000000
