Arnhem,seller,buyer,sells,buys,PV,ROI,VolumeCash,poidsmarket,achat_moyen,vente_moyen,league,Pays,Ville,Quartier,Arnhem
Partizan,10,NA,62300000,3115000,62300000,Inf,65415000,0.176838826939919,NA,6230000,,Serbie,Belgrade,,Partizan
Pescara,4,2,39250000,7400000,31850000,430.405405405405,46650000,0.126110697496709,3700000,9812500,,Italie,Pascara,,Pescara
Al-Jazira,5,11,37400000,88300000,-50900000,-57.6443941109853,125700000,0.33980953216155,8027272.72727273,7480000,,Qatar,Abou Dabi,,Al-Jazira
Bournemouth,3,11,30200000,133050000,-102850000,-77.3017662532882,163250000,0.441319857799308,12095454.5454545,10066666.6666667,,Angleterre,Bournemouth,,Bournemouth
BSC Young Boys,5,NA,3.9e+07,1950000,3.9e+07,Inf,40950000,0.110701673365278,NA,7800000,,Suisse,Berne,,BSC Young Boys
CD Legan�s,1,NA,1.2e+07,6e+05,1.2e+07,Inf,12600000,0.0340620533431625,NA,1.2e+07,,Espagne ,Leganés,,CD Legan�s
Instituto,1,NA,11900000,595000,11900000,Inf,12495000,0.0337782028986361,NA,11900000,,Argentine,Cordoba,,Instituto
Derby,5,6,38200000,38400000,-2e+05,-0.520833333333333,76600000,0.207075657625893,6400000,7640000,,Angleterre,Derby,,Derby
Am�rica,5,9,36650000,54700000,-18050000,-32.9981718464351,91350000,0.246949886737928,6077777.77777778,7330000,,Mexique,Mexico,,Am�rica
Newell's,2,NA,15670000,783500,15670000,Inf,16453500,0.0444793646572797,NA,7835000,,Argentine,Rosario,,Newell's
YB Funde,1,NA,11500000,575000,11500000,Inf,12075000,0.0326428011205307,NA,11500000,,Chine,Yanji,,YB Funde
Ipswich,5,NA,32850000,1642500,32850000,Inf,34492500,0.0932448710269073,NA,6570000,,Angleterre,Ipswich,,Ipswich
Sheffield Utd.,7,7,41350000,25580000,15770000,61.6497263487099,66930000,0.180934383353799,3654285.71428571,5907142.85714286,,Angleterre,Sheffield,,Sheffield Utd.
Huddersfield,2,8,21300000,85050000,-63750000,-74.9559082892416,106350000,0.287499950241693,10631250,10650000,,Angleterre,Huddersfield,,Huddersfield
Hilal,4,5,27200000,3.1e+07,-3800000,-12.258064516129,58200000,0.157334246394608,6200000,6800000,,Arabie Saoudite,Riyad,,Hilal
GZ R&F,4,1,32050000,7230000,24820000,343.2918395574,39280000,0.106187099628526,7230000,8012500,,Chine,Canton,,GZ R&F
Heart of Midl.,1,NA,10820000,541000,10820000,Inf,11361000,0.0307126180977515,NA,10820000,,Écosse,Édimbourg,,Heart of Midl.
Hajduk Split,6,1,3.5e+07,1500000,33500000,2233.33333333333,36500000,0.0986718211924945,1500000,5833333.33333333,,Croatie,Split,,Hajduk Split
Cardiff,9,7,54570000,64600000,-10030000,-15.5263157894737,119170000,0.322156737849577,9228571.42857143,6063333.33333333,,Angleterre,Cardiff,,Cardiff
Al-Ahli (UAE),1,8,0,0,0,NA,0,0,0,0,,UAE,Dubaï,,Al-Ahli (UAE)
Santos Laguna,6,2,43390000,6800000,36590000,538.088235294118,50190000,0.135680512483597,3400000,7231666.66666667,,Mexique,Torreón,,Santos Laguna
Preston NE,3,NA,22700000,1135000,22700000,Inf,23835000,0.0644340509074824,NA,7566666.66666667,,Angleterre,Preston,,Preston NE
Brighton,1,7,10100000,96900000,-86800000,-89.5768833849329,1.07e+08,0.289257119660189,13842857.1428571,10100000,,Angleterre,Brighton,,Brighton
FC Empoli,9,1,64200000,9e+06,55200000,613.333333333333,73200000,0.197884309898373,9e+06,7133333.33333333,,Italie,Empoli,,FC Empoli
Recr. Huelva,1,1,1e+07,4e+06,6e+06,150,1.4e+07,0.0378467259368472,4e+06,1e+07,,Espagne ,Huelva,,Recr. Huelva
FC Groningen,7,1,43500000,4e+06,39500000,987.5,47500000,0.128408534428589,4e+06,6214285.71428571,,Pays-Bas,groningue,,FC Groningen
Siena,8,4,48200000,15600000,32600000,208.974358974359,63800000,0.172472936769347,3900000,6025000,,Italie,Sienne,,Siena
Getafe CF,16,6,90220000,31500000,58720000,186.412698412698,121720000,0.329050248645217,5250000,5638750,,Espagne ,Getafe,,Getafe CF
Lens,13,6,67250000,24100000,43150000,179.045643153527,91350000,0.246949886737928,4016666.66666667,5173076.92307692,,France,Lens,,Lens
FC Sochaux,11,3,69400000,9e+06,60400000,671.111111111111,78400000,0.211941665246344,3e+06,6309090.90909091,,France,Sochaux,,FC Sochaux
Levante UD,6,NA,37800000,1890000,37800000,Inf,39690000,0.107295468030962,NA,6300000,,Espagne ,Valence,,Levante UD
FC Nantes,4,3,2.9e+07,9700000,19300000,198.969072164948,38700000,0.104619163839713,3233333.33333333,7250000,,France,Nantes,,FC Nantes
FC Barcelona B,3,1,20300000,5e+06,15300000,306,25300000,0.0683944404430167,5e+06,6766666.66666667,,Espagne ,Barcelone,,FC Barcelona B
Al Arabi,1,7,1e+07,47200000,-37200000,-78.8135593220339,57200000,0.15463090882769,6742857.14285714,1e+07,,Qatar,Doha,,Al Arabi
CA Rosario,1,NA,1e+07,5e+05,1e+07,Inf,10500000,0.0283850444526354,NA,1e+07,,Argentine,Rosario,,CA Rosario
KV Oostende,1,NA,1e+07,5e+05,1e+07,Inf,10500000,0.0283850444526354,NA,1e+07,,Belgique,Ostende,,KV Oostende
SD Eibar,1,NA,1e+07,5e+05,1e+07,Inf,10500000,0.0283850444526354,NA,1e+07,,Espagne ,Eibar,,SD Eibar
Chievo Verona,8,2,55500000,9500000,4.6e+07,484.210526315789,6.5e+07,0.175716941849648,4750000,6937500,,Italie,Verone,,Chievo Verona
Dijon,2,NA,1.4e+07,7e+05,1.4e+07,Inf,14700000,0.0397390622336896,NA,7e+06,,France,Dijon,,Dijon
Rio Ave FC,2,NA,1.6e+07,8e+05,1.6e+07,Inf,16800000,0.0454160711242167,NA,8e+06,,Portugal,Vila do Conde,,Rio Ave FC
Vancouver,1,NA,1e+07,5e+05,1e+07,Inf,10500000,0.0283850444526354,NA,1e+07,,USA,Vancouver,,Vancouver
HN Jianye,2,1,19030000,8500000,10530000,123.882352941176,27530000,0.0744228832172431,8500000,9515000,,Chine,Zhengzhou,,HN Jianye
Atl. Nacional,4,NA,21200000,1060000,21200000,Inf,22260000,0.0601762942395871,NA,5300000,,Colombie,Medellín,,Atl. Nacional
Al-Ettifaq,1,NA,9800000,490000,9800000,Inf,10290000,0.0278173435635827,NA,9800000,,Arabie Saoudite,Dammam,,Al-Ettifaq
Baniyas SC,1,NA,9800000,490000,9800000,Inf,10290000,0.0278173435635827,NA,9800000,,UAE,Abou Dabi,,Baniyas SC
Liaoning FC,5,1,37680000,11500000,26180000,227.652173913043,49180000,0.13295014154101,11500000,7536000,,Chine,Jinzhou,,Liaoning FC
Nordsjaelland,2,NA,14450000,722500,14450000,Inf,15172500,0.0410163892340582,NA,7225000,,Danemark,Nordsjælland,,Nordsjaelland
BJ Renhe,2,1,15250000,3500000,11750000,335.714285714286,18750000,0.0506875793797061,3500000,7625000,,Chine,Pékin,,BJ Renhe
Maldonado,1,2,9600000,17750000,-8150000,-45.9154929577465,27350000,0.0739362824551979,8875000,9600000,,Uruguay,Maldonado,,Maldonado
FCS Bucharest,6,NA,38500000,1925000,38500000,Inf,40425000,0.109282421142646,NA,6416666.66666667,,Roumanie,Bucharest,,FCS Bucharest
Botafogo,4,1,25500000,4e+06,21500000,537.5,29500000,0.0797484582240709,4e+06,6375000,,Brésil,Rio de Janeiro,,Botafogo
E. Frankfurt,2,2,14500000,1.2e+07,2500000,20.8333333333333,26500000,0.0716384455233179,6e+06,7250000,,Allemagne,Frankfurt,,E. Frankfurt
Roda JC,2,NA,12500000,625000,12500000,Inf,13125000,0.0354813055657943,NA,6250000,,Pays-Bas,Kerkrade,,Roda JC
Estudiantes,8,1,58570000,5300000,53270000,1005.09433962264,63870000,0.172662170399031,5300000,7321250,,Argentine,La Plata,,Estudiantes
AS Nancy,7,NA,38400000,1920000,38400000,Inf,40320000,0.10899857069812,NA,5485714.28571429,,France,Nancy,,AS Nancy
Portuguesa,2,NA,1.4e+07,7e+05,1.4e+07,Inf,14700000,0.0397390622336896,NA,7e+06,,Venezuela,Araure,,Portuguesa
Kayserispor,5,NA,32300000,1615000,32300000,Inf,33915000,0.0916836935820124,NA,6460000,,Turquie,Kayseri,,Kayserispor
Karab�kspor,1,NA,9e+06,450000,9e+06,Inf,9450000,0.0255465400073719,NA,9e+06,,Turquie,Karabük,,Karab�kspor
HNK Rijeka,1,NA,9e+06,450000,9e+06,Inf,9450000,0.0255465400073719,NA,9e+06,,Croatie,Rijeka,,HNK Rijeka
Al-Ain FC,3,7,19250000,39350000,-20100000,-51.0800508259212,58600000,0.158415581421375,5621428.57142857,6416666.66666667,,UAE,Al-Aïn,,Al-Ain FC
SM Caen,7,1,40500000,5e+06,35500000,710,45500000,0.123001859294753,5e+06,5785714.28571429,,France,Caen,,SM Caen
KAA Gent,7,NA,41600000,2080000,41600000,Inf,43680000,0.118081784922963,NA,5942857.14285714,,Belgique,Gent,,KAA Gent
Reims,2,NA,14500000,725000,14500000,Inf,15225000,0.0411583144563213,NA,7250000,,France,Reims,,Reims
Chiapas FC,3,NA,18990000,949500,18990000,Inf,19939500,0.0539031994155546,NA,6330000,,Mexique,Chiapas,,Chiapas FC
Vit. Guimar�es,4,NA,25800000,1290000,25800000,Inf,27090000,0.0732334146877994,NA,6450000,,Portugal,Guimarães,,Vit. Guimar�es
Br�ndby IF,5,1,23060000,4e+06,19060000,476.5,27060000,0.0731523145607918,4e+06,4612000,,Danemark,Brøndby,,Br�ndby IF
Colo Colo,3,NA,18100000,905000,18100000,Inf,19005000,0.0513769304592701,NA,6033333.33333333,,Chili,Santiago,,Colo Colo
Trabzonspor,11,11,53600000,49650000,3950000,7.95568982880161,103250000,0.279119603784248,4513636.36363636,4872727.27272727,,Turquie,Trabzon,,Trabzonspor
Lan�s,7,NA,50800000,2540000,50800000,Inf,53340000,0.144196025819388,NA,7257142.85714286,,Argentine,Lanús,,Lan�s
FC Copenhagen,8,1,47450000,3e+06,44450000,1481.66666666667,50450000,0.136383380250996,3e+06,5931250,,Danemark,Copenhague,,FC Copenhagen
Tigres UANL,1,8,8700000,47750000,-39050000,-81.7801047120419,56450000,0.152603405652502,5968750,8700000,,Mexique,Monterrey,,Tigres UANL
AIK Solna,1,NA,8600000,430000,8600000,Inf,9030000,0.0244111382292664,NA,8600000,,Suède,Stockholm,,AIK Solna
Le Mans,10,1,5.6e+07,4500000,51500000,1144.44444444444,60500000,0.163551922798518,4500000,5600000,,France,Le Mans,,Le Mans
Brescia,11,3,63360000,16200000,47160000,291.111111111111,79560000,0.215077536823969,5400000,5760000,,Italie,Brescia,,Brescia
FC Z�rich,2,NA,12800000,640000,12800000,Inf,13440000,0.0363328568993733,NA,6400000,,Suisse,Zurich,,FC Z�rich
FC Utrecht,5,1,31080000,4800000,26280000,547.5,35880000,0.0969957519010056,4800000,6216000,,Pays-Bas,Utrecht,,FC Utrecht
Sparta Praha,6,NA,26250000,1312500,26250000,Inf,27562500,0.0745107416881679,NA,4375000,,République Tchèque,Prague,,Sparta Praha
Argentinos,3,NA,15500000,775000,15500000,Inf,16275000,0.0439968189015849,NA,5166666.66666667,,Argentine,Buenos Aires,,Argentinos
Zorya Lugansk,1,NA,8500000,425000,8500000,Inf,8925000,0.0241272877847401,NA,8500000,,Louhansk,Ukraine,,Zorya Lugansk
Blackpool,2,NA,14200000,710000,14200000,Inf,14910000,0.0403067631227423,NA,7100000,,Angleterre,Blackpool,,Blackpool
KV Mechelen,1,NA,8250000,412500,8250000,Inf,8662500,0.0234176616734242,NA,8250000,,Belgique,Malines,,KV Mechelen
UD Almer�a,4,2,25500000,10800000,14700000,136.111111111111,36300000,0.098131153679111,5400000,6375000,,Espagne ,Almería,,UD Almer�a
Gaziantepspor,2,2,13500000,7100000,6400000,90.1408450704225,20600000,0.0556887538785037,3550000,6750000,,Turquie,Gaziantep,,Gaziantepspor
Stade Brest 29,1,NA,8e+06,4e+05,8e+06,Inf,8400000,0.0227080355621083,NA,8e+06,,France,Brest,,Stade Brest 29
Nacional,8,NA,60150000,3007500,60150000,Inf,63157500,0.170736042382602,NA,7518750,,Uruguay,Montevideo,,Nacional
Al Rayyan,1,3,8e+06,2e+07,-1.2e+07,-60,2.8e+07,0.0756934518736944,6666666.66666667,8e+06,,Qatar,Al Rayyan,,Al Rayyan
Monterrey,2,7,12600000,44760000,-32160000,-71.8498659517426,57360000,0.155063442838397,6394285.71428571,6300000,,Mexique,Monterrey,,Monterrey
AS Livorno,4,1,28710000,6e+06,22710000,378.5,34710000,0.0938328469477119,6e+06,7177500,,Italie,Livourne,,AS Livorno
Hannover 96,4,5,26200000,28800000,-2600000,-9.02777777777778,5.5e+07,0.148683566180471,5760000,6550000,,Allemagne,Hanovre,,Hannover 96
Atl�tico-PR,7,1,36300000,4e+06,32300000,807.5,40300000,0.108944503946782,4e+06,5185714.28571429,,Brésil,Paraná,,Atl�tico-PR
Zulte Waregem,1,NA,8e+06,4e+05,8e+06,Inf,8400000,0.0227080355621083,NA,8e+06,,Belgique,Waregem,,Zulte Waregem
KAS Eupen,1,NA,8e+06,4e+05,8e+06,Inf,8400000,0.0227080355621083,NA,8e+06,,Belgique,Eupen,,KAS Eupen
Rostov,1,NA,8e+06,4e+05,8e+06,Inf,8400000,0.0227080355621083,NA,8e+06,,Russie,Rostov,,Rostov
AC Le Havre,3,NA,18500000,925000,18500000,Inf,19425000,0.0525123322373755,NA,6166666.66666667,,France,Le Havre,,AC Le Havre
SC Amiens,1,NA,8e+06,4e+05,8e+06,Inf,8400000,0.0227080355621083,NA,8e+06,,France,Amiens,,SC Amiens
Hurac�n,3,NA,22200000,1110000,22200000,Inf,23310000,0.0630147986848506,NA,7400000,,Argentine,Buenos Aires,,Hurac�n
Rayo Vallecano,3,NA,2e+07,1e+06,2e+07,Inf,2.1e+07,0.0567700889052708,NA,6666666.66666667,,Espagne ,Madrid,,Rayo Vallecano
FC Midtjylland,4,NA,1.9e+07,950000,1.9e+07,Inf,19950000,0.0539315844600073,NA,4750000,,Danemark,Herning,,FC Midtjylland
Reading,8,3,43800000,16300000,27500000,168.711656441718,60100000,0.162470587771751,5433333.33333333,5475000,,Angleterre,Reading,,Reading
Club Tijuana,3,1,21330000,5e+06,16330000,326.6,26330000,0.0711788781369419,5e+06,7110000,,Mexique,Tijuana,,Club Tijuana
Juventude,2,NA,9900000,495000,9900000,Inf,10395000,0.0281011940081091,NA,4950000,,Brésil,Caxias do Sul,,Juventude
Gamba Osaka,2,NA,11800000,590000,11800000,Inf,12390000,0.0334943524541098,NA,5900000,,Japon,Osaka,,Gamba Osaka
FC S�o Paulo B,1,NA,7500000,375000,7500000,Inf,7875000,0.0212887833394766,NA,7500000,,Brésil,São Paulo,,FC S�o Paulo B
Krasnodar,4,8,72500000,59250000,13250000,22.3628691983122,131750000,0.356164724441401,7406250,18125000,,Russie,Krasnodar,,Krasnodar
Crewe Alexandra,2,NA,13500000,675000,13500000,Inf,14175000,0.0383198100110578,NA,6750000,,Angleterre,Crewe,,Crewe Alexandra
Guingamp,3,NA,16500000,825000,16500000,Inf,17325000,0.0468353233468484,NA,5500000,,France,Guingamp,,Guingamp
San Lorenzo,6,NA,29200000,1460000,29200000,Inf,30660000,0.0828843298016954,NA,4866666.66666667,,Argentine,Buenos Aires,,San Lorenzo
Bursaspor,4,NA,22800000,1140000,22800000,Inf,23940000,0.0647179013520087,NA,5700000,,Turquie,Bursa,,Bursaspor
Rapid Vienna,5,NA,28900000,1445000,28900000,Inf,30345000,0.0820327784681163,NA,5780000,,Autriche,Vienne,,Rapid Vienna
Ludogorets,1,NA,7500000,375000,7500000,Inf,7875000,0.0212887833394766,NA,7500000,,Bulgarie,Razgrad,,Ludogorets
Osmanlispor,2,NA,1.2e+07,6e+05,1.2e+07,Inf,12600000,0.0340620533431625,NA,6e+06,,Turquie,Ankara,,Osmanlispor
Ascoli,1,NA,7500000,375000,7500000,Inf,7875000,0.0212887833394766,NA,7500000,,Italie,Ascoli,,Ascoli
CA Banfield,4,NA,20650000,1032500,20650000,Inf,21682500,0.0586151167946921,NA,5162500,,Argentine,Banfield,,CA Banfield
Le�n,2,NA,13240000,662000,13240000,Inf,13902000,0.0375817988552893,NA,6620000,,Mexique,León,,León
RC Cesena,5,2,26550000,9e+06,17550000,195,35550000,0.0961036505039227,4500000,5310000,,Italie,Cesena,,RC Cesena
Eskisehirspor,2,NA,1.2e+07,6e+05,1.2e+07,Inf,12600000,0.0340620533431625,NA,6e+06,,Turquie,Eskişehir,,Eskisehirspor
Ahly,1,NA,7250000,362500,7250000,Inf,7612500,0.0205791572281607,NA,7250000,,Égypte,Le Caire,,Ahly
M. Tel Aviv,1,NA,7230000,361500,7230000,Inf,7591500,0.0205223871392554,NA,7230000,,Israël,Tel-Aviv,,M. Tel Aviv
Elche CF,3,NA,15200000,760000,15200000,Inf,15960000,0.0431452675680058,NA,5066666.66666667,,Espagne ,Elche,,Elche CF
Pa�os Ferreira,1,NA,7200000,360000,7200000,Inf,7560000,0.0204372320058975,NA,7200000,,Portugal,Paços de Ferreira,,Pa�os Ferreira
Feirense,1,NA,7200000,360000,7200000,Inf,7560000,0.0204372320058975,NA,7200000,,Portugal,Santa Maria da Feira,,Feirense
Atlas,3,NA,16980000,849000,16980000,Inf,17829000,0.0481978054805749,NA,5660000,,Mexique,Guadalajara,,Atlas
1.FC Nuremberg,8,NA,44100000,2205000,44100000,Inf,46305000,0.125178046036122,NA,5512500,,Allemagne,Nuremberg,,1.FC Nuremberg
Austria Vienna,3,1,13500000,2e+06,11500000,575,15500000,0.0419017322872237,2e+06,4500000,,Autriche,Vienne,,Austria Vienna
Red Star,8,1,3.5e+07,2500000,32500000,1300,37500000,0.101375158759412,2500000,4375000,,France,Paris,,Red Star
UNAM Pumas,6,NA,31600000,1580000,31600000,Inf,33180000,0.0896967404703279,NA,5266666.66666667,,Mexique,Mexico,,UNAM Pumas
Deportivo Cali,1,NA,7e+06,350000,7e+06,Inf,7350000,0.0198695311168448,NA,7e+06,,Colombie,Cali,,Deportivo Cali
Sporting Gij�n,3,NA,14800000,740000,14800000,Inf,15540000,0.0420098657899004,NA,4933333.33333333,,Espagne ,Gijón,,Sporting Gij�n
FC Ingolstadt,2,NA,1.2e+07,6e+05,1.2e+07,Inf,12600000,0.0340620533431625,NA,6e+06,,Allemagne,Ingolstadt,,FC Ingolstadt
Peterborough,3,NA,16050000,802500,16050000,Inf,16852500,0.0455579963464798,NA,5350000,,Angleterre,Peterborough,,Peterborough
Shabab,1,1,6800000,9600000,-2800000,-29.1666666666667,16400000,0.0443347360974496,9600000,6800000,,Arabie Saoudite,Riyad,,Shabab
SH Shenxin,1,NA,6750000,337500,6750000,Inf,7087500,0.0191599050055289,NA,6750000,,Chine,Shanghai,,SH Shenxin
UC AlbinoLeffe,3,NA,14100000,705000,14100000,Inf,14805000,0.0400229126782159,NA,4700000,,Italie,Bergame,,UC AlbinoLeffe
MK Dons,1,NA,6630000,331500,6630000,Inf,6961500,0.0188192844720973,NA,6630000,,Angleterre,Milton Keynes,,MK Dons
Hibernian FC,4,NA,16700000,835000,16700000,Inf,17535000,0.0474030242359011,NA,4175000,,Écosse,Édimbourg,,Hibernian FC
NY Red Bulls,1,NA,6500000,325000,6500000,Inf,6825000,0.018450278894213,NA,6500000,,USA,New York,,NY Red Bulls
CFR Cluj,2,NA,12500000,625000,12500000,Inf,13125000,0.0354813055657943,NA,6250000,,Roumanie,Cluj,,CFR Cluj
Inter U19,2,NA,10500000,525000,10500000,Inf,11025000,0.0298042966752672,NA,5250000,,Italie,Milan,,Inter U19
Morelia,2,NA,11360000,568000,11360000,Inf,11928000,0.0322454104981938,NA,5680000,,Mexique,Morelia,,Morelia
CD Cruz Azul,5,3,24300000,15420000,8880000,57.5875486381323,39720000,0.107376568157969,5140000,4860000,,Mexique,Mexico,,CD Cruz Azul
Ternana,2,2,8800000,6180000,2620000,42.3948220064725,14980000,0.0404959967524265,3090000,4400000,,Italie,Terni,,Ternana
Iraty SC,1,NA,6200000,310000,6200000,Inf,6510000,0.017598727560634,NA,6200000,,Brésil,"Paraná,",,Iraty SC
Arezzo,3,NA,13600000,680000,13600000,Inf,14280000,0.0386036604555842,NA,4533333.33333333,,Italie,Arezzo,,Arezzo
Coventry City,2,NA,1e+07,5e+05,1e+07,Inf,10500000,0.0283850444526354,NA,5e+06,,Angleterre,Coventry,,Coventry City
VVV-Venlo,2,NA,1.1e+07,550000,1.1e+07,Inf,11550000,0.0312235488978989,NA,5500000,,Pays-Bas,Venlo,,VVV-Venlo
Tombense,1,NA,6e+06,3e+05,6e+06,Inf,6300000,0.0170310266715812,NA,6e+06,,Brésil,Tombos,,Tombense
Dnipro,1,8,6e+06,47180000,-41180000,-87.2827469266638,53180000,0.143763491808681,5897500,6e+06,,Ukraine,Dnipro,,Dnipro
RS Berkane,1,NA,6e+06,3e+05,6e+06,Inf,6300000,0.0170310266715812,NA,6e+06,,Maroc,Berkane,,RS Berkane
Metalurh D.,3,NA,12550000,627500,12550000,Inf,13177500,0.0356232307880574,NA,4183333.33333333,,Ukraine,Donetsk,,Metalurh D.
Panathinaikos,2,5,8430000,21300000,-12870000,-60.4225352112676,29730000,0.080370225864462,4260000,4215000,,Grèce,Athènes,,Panathinaikos
Nagoya Grampus,1,1,5700000,1.1e+07,-5300000,-48.1818181818182,16700000,0.0451457373675249,1.1e+07,5700000,,Japon,Nagoya,,Nagoya Grampus
Real Valladolid,3,NA,1.5e+07,750000,1.5e+07,Inf,15750000,0.0425775666789531,NA,5e+06,,Espagne ,Valladolid,,Real Valladolid
Arsenal FC,2,NA,9500000,475000,9500000,Inf,9975000,0.0269657922300036,NA,4750000,,Angleterre,Londres,,Arsenal FC
Akhisarspor,1,NA,5500000,275000,5500000,Inf,5775000,0.0156117744489495,NA,5500000,,Turquie,Akhisar,,Akhisarspor
Toluca,1,NA,5500000,275000,5500000,Inf,5775000,0.0156117744489495,NA,5500000,,Mexique,Toluca,,Toluca
DL Yifang,2,3,9700000,38090000,-28390000,-74.5339984247834,47790000,0.129192502322995,12696666.6666667,4850000,,Chine,Dalian,,DL Yifang
Coimbra-MG,3,NA,14400000,720000,14400000,Inf,15120000,0.040874464011795,NA,4800000,,Brésil,Coimbra,,Coimbra-MG
Malm� FF,3,NA,13800000,690000,13800000,Inf,14490000,0.0391713613446369,NA,4600000,,Suède,Malmö,,Malm� FF
Pol. Warsaw,1,NA,5250000,262500,5250000,Inf,5512500,0.0149021483376336,NA,5250000,,Pologne,Varsovie,,Pol. Warsaw
Al Gharafa,1,4,5250000,27200000,-21950000,-80.6985294117647,32450000,0.087723304046478,6800000,5250000,,Qatar,Doha,,Al Gharafa
Goi�s EC,1,NA,5200000,260000,5200000,Inf,5460000,0.0147602231153704,NA,5200000,,Brésil,Goiânia,,Goi�s EC
Hamilton Acad.,1,NA,5100000,255000,5100000,Inf,5355000,0.0144763726708441,NA,5100000,,Angleterre,Hamilton,,Hamilton Acad.
Grosseto,1,NA,5100000,255000,5100000,Inf,5355000,0.0144763726708441,NA,5100000,,Italie,Grosseto,,Grosseto
Junior FC,1,NA,5100000,255000,5100000,Inf,5355000,0.0144763726708441,NA,5100000,,Colombie,Barranquilla,,Junior FC
Coritiba FC,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Brésil,Curitiba,,Coritiba FC
Treviso,2,NA,8800000,440000,8800000,Inf,9240000,0.0249788391183192,NA,4400000,,Italie,Trévise,,Treviso
Tom Tomsk,1,1,5e+06,2e+06,3e+06,150,7e+06,0.0189233629684236,2e+06,5e+06,,Russie,Tomsk,,Tom Tomsk
Willem II,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Pays-Bas,Tilbourg,,Willem II
Manisaspor,2,1,9e+06,2500000,6500000,260,11500000,0.0310883820195531,2500000,4500000,,Turquie,Manisa,,Manisaspor
Troyes,2,NA,1e+07,5e+05,1e+07,Inf,10500000,0.0283850444526354,NA,5e+06,,France,Troyes,,Troyes
Kalmar FF,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Suède,Kalmar,,Kalmar FF
FK Lyn,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Norvège,Oslo,,FK Lyn
Valenciennes FC,3,NA,13500000,675000,13500000,Inf,14175000,0.0383198100110578,NA,4500000,,France,Valenciennes,,Valenciennes FC
Rapid Bucharest,3,NA,12300000,615000,12300000,Inf,12915000,0.0349136046767416,NA,4100000,,Roumanie,Bucharest,,Rapid Bucharest
Aalesund,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Norvège,Aalesund,,Aalesund
Novara,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Italie,Novare,,Novara
Dinamo Bukarest,2,NA,9500000,475000,9500000,Inf,9975000,0.0269657922300036,NA,4750000,,Roumanie,Bucharest,,Dinamo Bukarest
Pohang Steelers,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Corée du Sud,Pohang,,Pohang Steelers
Portimonense,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Portugal,Portimão,,Portimonense
Cittadella,2,NA,8800000,440000,8800000,Inf,9240000,0.0249788391183192,NA,4400000,,Italie,Padoue,,Cittadella
Perugia,1,NA,5e+06,250000,5e+06,Inf,5250000,0.0141925222263177,NA,5e+06,,Italie,Pérouse,,Perugia
Barcelona SC,1,NA,4950000,247500,4950000,Inf,5197500,0.0140505970040545,NA,4950000,,Équateur,Guayaquil,,Barcelona SC
Necaxa,1,NA,4800000,240000,4800000,Inf,5040000,0.013624821337265,NA,4800000,,Mexique,Aguascalientes,,Necaxa
KSC Lokeren,1,NA,4800000,240000,4800000,Inf,5040000,0.013624821337265,NA,4800000,,Belgique,Lokeren,,KSC Lokeren
Helsingborg,2,1,7500000,1500000,6e+06,400,9e+06,0.0243300381022589,1500000,3750000,,Suède,Helsingborg,,Helsingborg
Ferencv�ros,1,NA,4800000,240000,4800000,Inf,5040000,0.013624821337265,NA,4800000,,Hongrie,Budapest,,Ferencv�ros
Lech Poznan,2,NA,8250000,412500,8250000,Inf,8662500,0.0234176616734242,NA,4125000,,Pologne,Poznań,,Lech Poznan
EC Bahia,1,NA,4750000,237500,4750000,Inf,4987500,0.0134828961150018,NA,4750000,,Brésil,Bahia,,EC Bahia
VfL Bochum,1,NA,4700000,235000,4700000,Inf,4935000,0.0133409708927386,NA,4700000,,Allemagne,Bochum,,VfL Bochum
Piacenza,2,NA,8700000,435000,8700000,Inf,9135000,0.0246949886737928,NA,4350000,,Italie,Plaisance,,Piacenza
Odense BK,1,NA,4700000,235000,4700000,Inf,4935000,0.0133409708927386,NA,4700000,,Danemark,Odense,,Odense BK
Paran�,1,NA,4700000,235000,4700000,Inf,4935000,0.0133409708927386,NA,4700000,,Brésil,Paraná,,Paran�
Torpedo Moscow,3,NA,9500000,475000,9500000,Inf,9975000,0.0269657922300036,NA,3166666.66666667,,Russie,Moscou,,Torpedo Moscow
Colchester Utd.,1,NA,4500000,225000,4500000,Inf,4725000,0.0127732700036859,NA,4500000,,Angleterre,Colchester,,Colchester Utd.
Slavia Prag,2,NA,8300000,415000,8300000,Inf,8715000,0.0235595868956874,NA,4150000,,République Tchèque,Prague,,Slavia Prag
FK Moskau,4,3,1.7e+07,7800000,9200000,117.948717948718,24800000,0.0670427716595579,2600000,4250000,,Russie,Moscou,,FK Moskau
